t_1,t_2
80.1612793204,126.988673668
16.2204901091,49.4089116166
9.41124769526,43.3449598271
11.7444344211,24.3668524919
58.7249082566,78.7601963187
94.5725514443,97.2391689335
57.3061913358,83.0032273768
59.3930212742,110.940425293
60.0118467984,NA
29.3162980579,30.3053850474
48.4884324157,82.953713225
18.4258263512,52.349731186
1.30250193509,13.7950118036
15.5765842297,54.6832093021
86.4851862013,NA
77.0016985042,78.3409926447
23.8351631236,48.3111265084
11.0855808113,40.3086758839
57.4765085615,86.0068241144
7.62850926065,NA
49.5015144992,52.1743773105
2.664617869,11.5819319669
73.0000174251,124.90087554
75.2644729366,87.6271105699
78.9178960976,NA
54.1898437415,75.4671128455
45.2801690764,59.5638641828
53.5015948841,NA
42.8377199357,43.5117666893
347.218555296,NA
108.545590965,116.739922325
1.34673565334,103.115815146
68.8808230283,NA
86.0214602632,124.416273462
15.6526017618,54.6498950293
27.5442264854,86.414244336
10.7333140116,52.3715155433
8.10370985505,38.7883376905
20.8404803183,42.931987384
67.1863581814,113.01260448
17.0834074424,56.3637532884
42.4125765697,75.9667004204
34.5024181342,83.5518554138
93.308289754,168.36142345
46.4638103738,58.9765106887
15.6858184409,171.370663674
25.8351214356,61.0493804356
80.1760423166,91.9620575998
1.46653759628,12.3588236764
16.3017853116,149.112813806
26.2087717054,46.9259926805
8.80952813918,28.0601954589
20.7280603374,90.5602420692
NA,NA
35.8624346176,75.7206673599
2.50815626831,30.5811181251
46.3922390531,58.1992211906
2.6704648888,20.188655869
29.6994358201,41.2471998685
100.554017737,109.933186107
3.3867341924,75.4276932259
39.9759427885,42.8840087476
24.9623348029,60.5339174762
8.03739162276,160.509085302
37.6224230329,52.2230490253
47.2160162276,53.6596571519
1.03430962503,26.604437613
20.0857041224,38.0054132634
56.3328571787,99.7067799594
91.5810071651,NA
97.3544669809,196.463246433
138.365947904,NA
116.950220823,118.086912363
41.970638478,62.6728007707
43.4016517956,58.6559954323
2.77615907828,67.7342284051
24.1146744603,NA
88.7899128035,143.825618558
15.1474937751,61.8447900982
3.23412006889,6.05540592207
38.3786179059,100.279097496
53.3788224484,77.3551570277
42.4055789534,86.7601072201
9.0332063086,19.2421642864
22.6043429729,81.970449044
4.02030409704,29.0633404366
11.645536422,25.2703909436
7.23585052943,46.9989094483
9.39699015543,22.1084957511
147.57135839,NA
72.6622721509,74.8920307297
68.8754230461,152.485008871
192.218759265,213.320440774
70.2164823361,172.288066682
68.8808451443,78.8927071234
64.6937648209,115.029580776
38.9866955179,67.4425642947
48.0524190943,NA
19.3400869304,NA
6.89269918607,67.3710927555
18.771645374,68.9447530074
37.8265154809,67.3981145197
29.6104158822,112.411296885
100.139849921,NA
22.9791988707,49.3278547509
35.10836408,41.8936801729
18.4524070211,24.8505480947
29.0038420618,30.1369190991
47.1072371012,245.254357428
36.3752362312,51.4833044236
22.6457943209,30.574698176
48.7329602067,NA
85.5805405457,NA
9.89744612809,107.956005895
14.8120698527,29.2428037501
44.422896425,NA
52.5832579008,60.7714144812
25.8403152082,310.98016369
17.9149641168,39.3679815236
28.1194157022,61.0070540578
67.7970456157,112.562573451
44.9341215329,78.5280489167
50.0584592797,83.0511704508
36.0901178556,81.6681191034
19.3536543488,230.303285736
14.2683043556,33.1637359224
18.0789781546,34.3194910049
0.593615662127,20.3735042697
62.4648167583,70.5973895852
7.38968945061,22.5819109089
32.466086349,51.0628692706
22.5954978236,29.0274630779
27.9833071293,54.8489579399
97.0997741738,143.901253107
15.9075410063,NA
3.52931800514,37.9003108382
155.544623642,174.510322519
32.9397725813,212.661477397
8.15630000773,27.4791128341
51.064896742,NA
46.2892565484,53.8835796109
39.067287709,39.4666411826
248.150481572,NA
45.5230653016,205.905312778
1.49237903609,16.109470069
72.9761841006,174.972855705
9.08220244939,15.4347709966
48.5692683511,61.0364903298
4.79383971,6.8363550286
83.7505462432,89.2798977298
1.71709999514,24.1691414306
12.769540911,97.795463141
15.2950759838,33.6288839342
60.4469279477,76.4103948729
64.2940726571,81.614786921
7.44987069759,32.6831531356
6.02421793556,16.1436116112
NA,NA
11.6181247343,37.9998400544
29.0369462119,95.4319454603
97.4158099175,172.957451932
18.6531544374,53.5257855952
147.682125099,NA
47.6072129804,103.444979463
34.2579385983,47.9673723328
139.924462053,159.815258632
54.5486349067,NA
8.19197402674,25.7861193344
9.21741696709,24.6850029472
8.84615881946,55.3464595861
37.5644728901,61.7291673543
0.872351674084,71.7201372105
82.4261931985,99.8198107404
56.6775872389,NA
44.0199545024,44.4355798826
19.6067792202,31.004173249
33.473106132,35.0124339202
46.8256037601,48.415175717
15.9141977705,19.0040315216
14.5371729679,266.658861427
16.9312298442,24.1281672663
51.7571543708,65.0114892656
1.16431795152,NA
22.0452590564,37.5226122401
16.7903115664,19.3873075823
31.3885089889,37.9314049977
8.53694188022,14.2537628569
31.6891835254,NA
51.7692587448,57.2163281725
10.5635586426,10.598872827
38.896512412,89.7926512698
24.5225363256,32.8236557707
8.82628218402,13.4931006775
9.94165756393,43.8931060045
15.5127152424,60.8951934478
38.9958192047,39.0981838218
15.0312366277,28.5876933156
113.242697983,121.774908107
